,0
feature1125,5.0
feature1126,16.0
feature1127,2.0
feature1128,32.0
feature1129,7.0
feature1130,4.0
feature1131,18.0
feature1132,9.0
feature1133,6.0
feature1134,9.0
feature1135,23.0
feature1136,351.0
feature1137,7.0
feature1138,35.0
feature1139,24.0
feature1140,14.0
feature1141,6.0
feature1142,16.0
feature1143,7.0
feature1144,6.0
feature1145,8.0
feature1146,8.0
feature1147,19.0
feature1148,23.0
feature1149,8.0
feature1150,21.0
feature1151,18.0
feature1152,14.0
feature1153,16.0
feature1154,9.0
feature1155,2.0
feature1156,5.0
feature1157,15.0
feature1158,6.0
feature1159,11.0
feature1160,5.0
feature1161,12.0
feature1162,3.0
feature1163,5.0
feature1164,46.0
feature1165,28.0
feature1166,4.0
feature1167,73.0
feature1168,12.0
feature1169,23.0
feature1170,19711.0
feature1171,2.0
feature1172,443.0
feature1173,36.0
feature1174,16.0
feature1175,3.0
feature1176,19.0
feature1177,3.0
feature1178,4.0
feature1179,18.0
feature1180,10.0
feature1181,4.0
feature1182,160.0
feature1183,5.0
feature1184,2.0
feature1185,38.0
feature1186,4.0
feature1187,3.0
feature1188,3.0
feature1189,3.0
feature1190,2.0
feature1191,5.0
feature1192,30.0
feature1193,29.0
feature1194,7.0
feature1195,8.0
feature1196,7.0
feature1197,4.0
feature1198,38.0
feature1199,10.0
feature1200,36.0
feature1201,2.0
feature1202,28.0
feature1203,3.0
feature1204,2.0
feature1205,3.0
feature1206,6.0
feature1207,3.0
feature1208,10.0
feature1209,2.0
feature1210,9.0
feature1211,3.0
feature1212,5.0
feature1213,9.0
feature1214,24.0
feature1215,4.0
feature1216,7.0
feature1217,6.0
feature1218,12.0
feature1219,6.0
feature1220,3.0
feature1221,8.0
feature1222,7.0
feature1223,3.0
feature1224,4.0
feature1225,7.0
feature1226,3.0
feature1227,33.0
feature1228,33.0
feature1229,5.0
feature1230,4.0
feature1231,3.0
feature1232,2.0
feature1233,21.0
feature1234,3.0
feature1235,2.0
feature1236,2.0
feature1237,2.0
feature1238,24.0
feature1239,2.0
feature1240,8.0
feature1241,10.0
feature1242,320.0
feature1243,132.0
feature1244,4.0
feature1245,34.0
feature1246,10.0
feature1247,35.0
feature1248,8.0
feature1249,32.0
feature1250,21.0
feature1251,14.0
feature1252,2.0
feature1253,6.0
feature1254,2.0
feature1255,6.0
feature1256,3.0
feature1257,2.0
feature1258,3.0
feature1259,24.0
feature1260,4.0
feature1261,38.0
feature1262,5.0
feature1263,8.0
feature1264,2.0
feature1265,3.0
feature1266,81.0
feature1267,16.0
feature1268,17.0
feature1269,3.0
feature1270,3.0
feature1271,3.0
feature1272,6.0
feature1273,2.0
feature1274,15.0
feature1275,12.0
feature1276,3.0
feature1277,6.0
feature1278,16.0
feature1279,4.0
feature1280,3.0
feature1281,25.0
feature1282,24.0
feature1283,2.0
feature1284,11.0
feature1285,5.0
feature1286,14.0
feature1287,43.0
feature1288,6.0
feature1289,6.0
feature1290,22.0
feature1291,22.0
feature1292,5.0
feature1293,2.0
feature1294,3.0
feature1295,45.0
feature1296,4.0
feature1297,5.0
feature1298,36.0
feature1299,15.0
feature1300,4.0
feature1301,116.0
feature1302,4.0
feature1303,32.0
feature1304,2.0
feature1305,2.0
feature1306,10.0
feature1307,3.0
feature1308,48.0
feature1309,163.0
feature1310,10.0
feature1311,22.0
feature1312,2.0
feature1313,117.0
feature1314,4.0
feature1315,32.0
feature1316,8.0
feature1317,10.0
feature1318,10.0
feature1319,6.0
feature1320,4.0
feature1321,3.0
feature1322,2.0
feature1323,3.0
feature1324,2.0
feature1325,3.0
feature1326,5.0
feature1327,4.0
feature1328,9.0
feature1329,2.0
feature1330,4.0
feature1331,7.0
feature1332,3.0
feature1333,2.0
feature1334,23.0
feature1335,76.0
feature1336,2.0
feature1337,92.0
feature1338,64.0
feature1339,6.0
feature1340,9.0
feature1341,2.0
feature1342,252.0
feature1343,55.0
feature1344,2.0
feature1345,2.0
feature1346,95.0
feature1347,294.0
feature1348,4.0
feature1349,22.0
feature1350,112.0
feature1351,3.0
feature1352,4.0
feature1353,3.0
feature1354,8.0
feature1355,6.0
feature1356,388.0
feature1357,21.0
feature1358,480.0
